$projectile_damage_energy_weapons_title:              Damage (energy)
$projectile_damage_ballistic_weapons_title:           Damage (ballistic)
$projectile_damage_missile_weapons_title:             Damage (missile)
$projectile_damage_mine_weapons_title:                Damage (mine)
$tracking_speed_energy_weapons_title:                 Tracking speed (energy)
$tracking_speed_ballistic_weapons_title:              Tracking speed (ballistic)
$tracking_speed_missile_weapons_title:                Tracking speed (missile)
$tracking_speed_mine_weapons_title:                   Tracking speed (mine)
$tracking_angle_energy_weapons_title:                 Tracking angle (energy)
$tracking_angle_ballistic_weapons_title:              Tracking angle (ballistic)
$tracking_angle_missile_weapons_title:                Tracking angle (missile)
$tracking_angle_mine_weapons_title:                   Tracking angle (mine)
$cooldown_time_energy_weapons_title:                  Cooldown time (energy)
$cooldown_time_ballistic_weapons_title:               Cooldown time (ballistic)
$cooldown_time_missile_weapons_title:                 Cooldown time (missile)
$cooldown_time_mine_weapons_title:                    Cooldown time (mine)
$max_ammo_energy_weapons_title:                       Max ammo (energy)
$max_ammo_ballistic_weapons_title:                    Max ammo (ballistic)
$max_ammo_missile_weapons_title:                      Max ammo (missile)
$max_ammo_mine_weapons_title:                         Max ammo (mine)
$ammo_replenish_amount_energy_weapons_title:          Ammo replenish (energy)
$ammo_replenish_amount_ballistic_weapons_title:       Ammo replenish (ballistic)
$ammo_replenish_amount_missile_weapons_title:         Ammo replenish (missile)
$ammo_replenish_amount_mine_weapons_title:            Ammo replenish (mine)
$projectile_speed_energy_weapons_title:               Projectile speed (energy)
$projectile_speed_ballistic_weapons_title:            Projectile speed (ballistic)
$projectile_speed_missile_weapons_title:              Projectile speed (missile)
$projectile_speed_mine_weapons_title:                 Projectile speed (mine)
$projectile_homing_energy_weapons_title:              Projectile homing (energy)
$projectile_homing_ballistic_weapons_title:           Projectile homing (ballistic)
$projectile_homing_missile_weapons_title:             Projectile homing (missile)
$projectile_homing_mine_weapons_title:                Projectile homing (mine)
$projectile_range_energy_weapons_title:               Effective range (energy)
$projectile_range_ballistic_weapons_title:            Effective range (ballistic)
$projectile_range_missile_weapons_title:              Effective range (missile)
$projectile_range_mine_weapons_title:                 Effective range (mine)
$projectile_max_range_energy_weapons_title:           Max range (energy)
$projectile_max_range_ballistic_weapons_title:        Max range (ballistic)
$projectile_max_range_missile_weapons_title:          Max range (missile)
$projectile_max_range_mine_weapons_title:             Max range (mine)
$projectile_area_energy_weapons_title:                AOE effective range (energy)
$projectile_area_ballistic_weapons_title:             AOE effective range (ballistic)
$projectile_area_missile_weapons_title:               AOE effective range (missile)
$projectile_area_mine_weapons_title:                  AOE effective range (mine)
$projectile_max_area_energy_weapons_title:            AOE max range (energy)
$projectile_max_area_ballistic_weapons_title:         AOE max range (ballistic)
$projectile_max_area_missile_weapons_title:           AOE max range (missile)
$projectile_max_area_mine_weapons_title:              AOE max range (mine)
$projectile_structure_energy_weapons_title:           Projectile structure (energy)
$projectile_structure_ballistic_weapons_title:        Projectile structure (ballistic)
$projectile_structure_missile_weapons_title:          Projectile structure (missile)
$projectile_structure_mine_weapons_title:             Projectile structure (mine)
$projectile_spread_energy_weapons_title:              Projectile spread (energy)
$projectile_spread_ballistic_weapons_title:           Projectile spread (ballistic)
$projectile_spread_missile_weapons_title:             Projectile spread (missile)
$projectile_spread_mine_weapons_title:                Projectile spread (mine)
