$engineering_title:                   Engineering
$piloting_light_frigates_title:       Piloting light frigates
$piloting_heavy_frigates_title:       Piloting heavy frigates
$piloting_light_cruisers_title:       Piloting light cruisers
$piloting_heavy_cruisers_title:       Piloting heavy cruisers
$use_energy_weapons_title:            Energy weapons
$use_ballistic_weapons_title:         Ballistic weapons
$use_missile_weapons_title:           Missile weapons
$use_mine_weapons_title:              Mine weapons
$electronics_title:                   Electronics
$hacking_title:                       Hacking
