$p0001:             Analyzing recording...
$p0002:             "Full content:
                    It's time! Go get them, boys! And remember, this time leave no one alive!"

$p0003:             End of recording.
$p0004:             Voice match confirmed: Mercenary Judd.
$p0005:             Analyzing noise...
$p0006:             No discrepancies found.
$p0007:             Analyzing structure.
$p0008:             File is incomplete. The final part of the file is missing.
$p0009:             Original file size: 50575. Current file size: 37242.
$p0010:             Missing part was successfully restored.
$p0011:             "Full content:
                    It's time! Go get them, boys! And remember, this time leave no one alive! These pirates mustn't survive, or they'll come back again one day."

$p0012:             End of recording
$p0013:             Well, actually I do require a little assistance. You see, not so long ago a group of Freedom fighters attacked a group of Order ships. Two Order vessels were destroyed, and I was the only survivor.
$p0014:             Now the man responsible for that attack, Freedom Mercenary Judd, is being held here on this very station. I'm sure after the trial he will rot in jail, but just to be sure, can you talk to Sgt. Ragnar about this case and make sure he's taking this matter seriously?
$p0015:             He's leading this investigation. I just want to make sure Judd gets what he deserves.
$p0016:             Yes, I'm the witness. I'm the only survivor of the attack and I personally heard Judd talking on the radio and giving orders.
$p0017:             I heard what he said to his thugs over the radio. It was like: 'Get them, guys! And remember, no survivors!', something like that.
$p0018:             I know his voice. And I know his ship. I'm sure that it was him. And I've got the recording. Our guys had it analyzed and it confirms that it was, indeed, Judd talking.
$p0019:             Why would you want to do that?
$p0020:             Okay, here's a copy of the recording. But I assure you, you won't find anything new.
$p0021:             So, did you find anything unusual about the recording?
$p0022:             Well, you got me. I faked this evidence. So what?
$p0023:             I KNOW, that Judd ambushed many of our men. I KNOW, that he killed our boys. I KNOW that Freedom mercenaries often attack and plunder our ships.
$p0024:             But I can't prove it. So what? You think I should just let these Freedom bastards continue killing our men?
$p0025:             Yes, the evidence is fake. But Judd IS guilty. I just can't prove it.
$p0026:             So, what will you decide? Will you turn me over to Ragnar?
$p0027:             Just think about what I said.
$p0028:             So, what have you decided?
$p0029:             Thank you, my friend! You've made the right decision. This Freedom bastard should pay for his crimes.
$p0030:             Here, I've got some money for you as a token of my gratitude. And I will tell Ragnar, that you helped me.
$p0031:             Well, you're not mistaken. I need help. Actually, the whole Freedom faction needs your help.
$p0032:             You see, one of our men, Mercenary Judd, was arrested by the Order a couple of hours ago. They accused him of attacking and killing one of their men.
$p0033:             I'm sure the whole case is fabricated. Judd would never do something as stupid as this. But I cannot prove it. And I need your help.
$p0034:             Go to Sgt. Ragnar. He's in charge of their investigation. He can provide you with more information.
$p0035:             I know him back from our Federation days. He's a good man. He won't fabricate evidence. He will listen to you.
$p0036:             Try to find a way to release Judd. Freedom will be grateful for that.
$p0037:             Yes, what about it?
$p0038:             I am. And I'll make sure this bastard gets what he deserves.
$p0039:             He organized an attack on one of our scouts, during which the scout was killed. Trial will be very soon, and I think this Judd has zero chances.
